isInLABounds,councildist,lat,lng,,city,state,department,employeecount,grosspay
0,,42.4850931,-71.43284,,ACTON,CA,Airports,3,261117.35
0,,42.4850931,-71.43284,,ACTON,CA,Animal Services,1,59957.37
0,,42.4850931,-71.43284,,ACTON,CA,Building and Safety,6,442243.08
0,,42.4850931,-71.43284,,ACTON,CA,Council,1,10478
0,,42.4850931,-71.43284,,ACTON,CA,Fire,14,2191107.11
0,,42.4850931,-71.43284,,ACTON,CA,General Services,2,111614.24
0,,42.4850931,-71.43284,,ACTON,CA,Harbor,1,41607.34
0,,42.4850931,-71.43284,,ACTON,CA,Information Technology Agency,1,100001.43
0,,42.4850931,-71.43284,,ACTON,CA,Police,50,5035277.36
0,,42.4850931,-71.43284,,ACTON,CA,Public Works - Contract Administration,1,95567.64
0,,42.4850931,-71.43284,,ACTON,CA,Public Works - Sanitation,4,320459.34
0,,42.4850931,-71.43284,,ACTON,CA,Public Works - Street Services,2,83764.06
0,,42.4850931,-71.43284,,ACTON,CA,Recreation and Parks,3,67912.94
0,,42.4850931,-71.43284,,ACTON,CA,Zoo,3,129131.89
0,,34.5827699,-117.409215,,ADELANTO,CA,Airports,2,120602.61
0,,34.5827699,-117.409215,,ADELANTO,CA,Police,3,215578.11
0,,34.5827699,-117.409215,,ADELANTO,CA,Public Works - Sanitation,3,200674.85
0,,34.5827699,-117.409215,,ADELANTO,CA,Public Works - Street Services,1,83032.49
0,,34.5827699,-117.409215,,ADELANTO,CA,Recreation and Parks,1,1260.5
0,,34.1533395,-118.7616764,,AGOURA,CA,Building and Safety,1,101603.38
0,,34.1533395,-118.7616764,,AGOURA,CA,Fire,3,391192.9
0,,34.1533395,-118.7616764,,AGOURA,CA,Police,1,99063.54
0,,34.1533395,-118.7616764,,AGOURA,CA,Public Works - Board of Public Works,1,92581.13
0,,34.1533395,-118.7616764,,AGOURA,CA,Public Works - Sanitation,1,99289.52
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,Airports,1,83812.53
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,City Attorney,3,171055.71
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,City Planning,1,45730.48
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,Fire,5,795471.8
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,General Services,2,228686.5
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,Library,3,31722.68
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,Los Angeles Housing,2,132665.73
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,Police,11,1152530.97
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,Public Works - Contract Administration,1,104148.82
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,Public Works - Engineering,1,105768.62
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,Public Works - Street Services,1,32148.32
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,Recreation and Parks,1,4812.8
0,,34.1533395,-118.7616764,,AGOURA HILLS,CA,Transportation,2,85129.52
